dataset,backbone,method,window,csv,n_rounds,source
CIFAR-100,ResNet,Random,15,data/cifar100/resnet/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-resnet-e8-random/20260921-105050/rounds.csv
CIFAR-100,ResNet,FedAvg,15,data/cifar100/resnet/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-resnet-e8-zerofill/20260921-114718/rounds.csv
CIFAR-100,ResNet,FedAdam,15,data/cifar100/resnet/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-resnet-e8-fedadam-tau1e2/20260921-121510/rounds.csv
CIFAR-100,VGG11,Ours,15,data/cifar100/vgg11/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-vgg11-e8-ours/20260921-133836/rounds.csv
CIFAR-100,VGG11,FedRolex,15,data/cifar100/vgg11/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-vgg11-e8-fedrolex/20260921-133854/rounds.csv
CIFAR-100,VGG11,Random,15,data/cifar100/vgg11/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-vgg11-e8-random/20260921-134805/rounds.csv
CIFAR-100,VGG11,FedAvg,15,data/cifar100/vgg11/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-vgg11-e8-zerofill/20260921-145210/rounds.csv
CIFAR-100,VGG11,FedAdam,15,data/cifar100/vgg11/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-c100-vgg11-e8-fedadam-tau1e2/20260921-150136/rounds.csv
STL-10,ResNet,Ours,41,data/stl10/resnet/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-resnet-e8-ours/20260921-235455/rounds.csv
STL-10,ResNet,FedRolex,41,data/stl10/resnet/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-resnet-e8-fedrolex/20260922-001438/rounds.csv
STL-10,ResNet,Random,41,data/stl10/resnet/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-resnet-e8-random/20260922-003310/rounds.csv
STL-10,ResNet,FedAvg,41,data/stl10/resnet/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-resnet-e8-zerofill/20260922-005231/rounds.csv
STL-10,ResNet,FedAdam,41,data/stl10/resnet/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-resnet-e8-fedadam-tau1e2/20260922-012403/rounds.csv
STL-10,VGG11,Ours,41,data/stl10/vgg11/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-vgg11-e8-ours/20260922-014116/rounds.csv
STL-10,VGG11,FedRolex,41,data/stl10/vgg11/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-vgg11-e8-fedrolex/20260922-015125/rounds.csv
STL-10,VGG11,Random,41,data/stl10/vgg11/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-vgg11-e8-random/20260922-015138/rounds.csv
STL-10,VGG11,FedAvg,41,data/stl10/vgg11/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-vgg11-e8-zerofill/20260922-015915/rounds.csv
STL-10,VGG11,FedAdam,41,data/stl10/vgg11/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp01-stl10-vgg11-e8-fedadam-tau1e2/20260922-021118/rounds.csv
TinyImageNet,ResNet,Ours,15,data/tinyimagenet/resnet/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-resnet-e8-ours/20260922-053026/rounds.csv
TinyImageNet,ResNet,FedRolex,15,data/tinyimagenet/resnet/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-resnet-e8-fedrolex/20260922-053026/rounds.csv
TinyImageNet,ResNet,Random,15,data/tinyimagenet/resnet/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-resnet-e8-random/20260922-053026/rounds.csv
TinyImageNet,ResNet,FedAvg,15,data/tinyimagenet/resnet/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-resnet-e8-fedavg/20260922-053026/rounds.csv
TinyImageNet,ResNet,FedAdam,15,data/tinyimagenet/resnet/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-resnet-e8-fedadam/20260922-100920/rounds.csv
TinyImageNet,VGG11,Ours,15,data/tinyimagenet/vgg11/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-vgg11-e8-ours/20260922-102409/rounds.csv
TinyImageNet,VGG11,FedRolex,15,data/tinyimagenet/vgg11/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-vgg11-e8-fedrolex/20260922-103416/rounds.csv
TinyImageNet,VGG11,Random,15,data/tinyimagenet/vgg11/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-vgg11-e8-random/20260922-103749/rounds.csv
TinyImageNet,VGG11,FedAvg,15,data/tinyimagenet/vgg11/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-vgg11-e8-fedavg/20260922-151011/rounds.csv
TinyImageNet,VGG11,FedAdam,15,data/tinyimagenet/vgg11/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-tiny-vgg11-e8-fedadam/20260922-152524/rounds.csv
CINIC-10,ResNet,Ours,21,data/cinic10/resnet/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-resnet-e8-ours/20260922-160101/rounds.csv
CINIC-10,ResNet,FedRolex,21,data/cinic10/resnet/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-resnet-e8-fedrolex/20260922-160645/rounds.csv
CINIC-10,ResNet,Random,21,data/cinic10/resnet/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-resnet-e8-random/20260922-194931/rounds.csv
CINIC-10,ResNet,FedAvg,21,data/cinic10/resnet/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-resnet-e8-fedavg/20260922-202500/rounds.csv
CINIC-10,ResNet,FedAdam,21,data/cinic10/resnet/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-resnet-e8-fedadam/20260922-215147/rounds.csv
CINIC-10,VGG11,Ours,21,data/cinic10/vgg11/ours.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-vgg11-e8-ours/20260922-221558/rounds.csv
CINIC-10,VGG11,FedRolex,21,data/cinic10/vgg11/fedrolex.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-vgg11-e8-fedrolex/20260923-005739/rounds.csv
CINIC-10,VGG11,Random,21,data/cinic10/vgg11/random.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-vgg11-e8-random/20260923-020422/rounds.csv
CINIC-10,VGG11,FedAvg,21,data/cinic10/vgg11/fedavg.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-vgg11-e8-fedavg/20260923-025421/rounds.csv
CINIC-10,VGG11,FedAdam,21,data/cinic10/vgg11/fedadam.csv,100,/userhome/cs3/duanty/FedMoE/results/exp02-cinic-vgg11-e8-fedadam/20260923-030142/rounds.csv
