Round,Client,BudgetK,CoverageOurs,CoverageFedRolex,CoverageRandom
4,6,1,0.38948275765838336,0.06665929032096478,0.05551350030169538
4,7,7,0.9407895282601879,0.5589585663162632,0.8239089748279307
4,8,7,0.940648949774883,0.9335461472577117,0.9335461472577117
4,9,1,0.4278768683008532,0.05764672882345325,0.4278768683008532
4,10,8,1.0,1.0,1.0
5,1,3,0.718603100223558,0.33944826994210037,0.18585343176359226
5,2,6,0.8792340675490402,0.40048503503448923,0.8637311968824521
5,3,1,0.4052564387758567,0.062458118889043485,0.24161556949743912
5,4,4,0.7718359831594309,0.38215094793519583,0.7663943561429658
5,5,1,0.36936295096077104,0.0687743897046625,0.06379298488517698
5,6,7,0.9444864996983047,0.9333407096790352,0.9444864996983047
5,7,2,0.6171324588558064,0.12226739119192492,0.12655052467986777
5,8,3,0.6589776018764517,0.3440681622433531,0.6527758709617283
5,9,2,0.6364309004034321,0.26817194427649704,0.1255468620103815
5,10,3,0.6531728220812748,0.6468661360548527,0.4991543039083213
6,1,2,0.649024321918928,0.27633489610196627,0.4856888145644754
6,2,2,0.5995149649655107,0.12732895687846116,0.14260199645769284
6,3,1,0.4052564387758567,0.06281355285722705,0.05730494502276975
6,4,7,0.9453440409253375,0.8098349841809297,0.9220779717514237
6,5,8,1.0,1.0000000000000002,1.0000000000000002
6,6,2,0.6115820161500856,0.12683797451250636,0.6115820161500856
6,7,8,1.0,1.0,1.0
6,8,1,0.371066734292847,0.21253995786766391,0.05935105022511705
6,9,8,1.0000000000000002,1.0,1.0
6,10,1,0.35359529884461954,0.0674284464018466,0.06817871789840148
7,1,3,0.718603100223558,0.7051294138771859,0.18879724410302215
7,2,8,1.0,1.0,1.0
7,3,1,0.4052564387758567,0.05508797216419809,0.06281355285722705
7,4,1,0.43886315817696153,0.05739408072838511,0.19016501581907044
7,5,6,0.8716283842797496,0.6968747384511352,0.8715903469726524
7,6,4,0.751361673203842,0.7295876208865806,0.7380475523235835
7,7,1,0.4410414336837369,0.06624050290261035,0.17609102517206945
7,8,1,0.371066734292847,0.07217715415057215,0.05935105022511705
7,9,3,0.7025991883230975,0.5481143103108695,0.5481143103108694
7,10,8,1.0,0.9999999999999998,1.0
8,1,1,0.4325275349456474,0.05610509195825792,0.059838109128685715
8,2,3,0.6723107090775395,0.2066935273841444,0.36529669931188263
8,3,1,0.4052564387758567,0.24161556949743912,0.056783376064457894
8,4,1,0.43886315817696153,0.05666982313916391,0.05944415389835756
8,5,8,1.0,1.0,1.0
8,6,2,0.6115820161500856,0.28459136292650195,0.1397796570537564
8,7,6,0.8814806377640605,0.870800996401592,0.8665178629136492
8,8,1,0.371066734292847,0.06916917880121738,0.07217715415057215
8,9,1,0.4278768683008532,0.06616828791966556,0.06616828791966556
8,10,5,0.7971160722055883,0.35313386394514734,0.7922734582108711
9,1,6,0.8976596751506358,0.7273981210684615,0.7203898391865853
9,2,4,0.7429652644314924,0.736402240003991,0.42616310541846
9,3,5,0.8308237067485743,0.6404829054811357,0.6331127587562905
9,4,4,0.7718359831594309,0.6178490520648043,0.387628784057132
9,5,4,0.7423285948325142,0.26282866618529954,0.5632413712430799
9,6,8,1.0,1.0,1.0
9,7,8,1.0,1.0,1.0
9,8,2,0.5836066921605109,0.1492420719202942,0.13322221242947038
9,9,1,0.4278768683008532,0.4278768683008532,0.06616828791966556
9,10,6,0.8652947901039898,0.5782259832569789,0.8541454900828505
10,1,3,0.718603100223558,0.1719191031539943,0.1748629154934242
10,2,8,1.0,1.0,1.0
10,3,4,0.7721436800195663,0.5818028787521279,0.7606400071665018
10,4,1,0.43886315817696153,0.06488578091482258,0.054655959074662634
10,5,4,0.7423285948325142,0.2678100710047851,0.5685031227308848
10,6,2,0.6115820161500856,0.45345618939708154,0.12217279062266015
10,7,1,0.4410414336837369,0.05921047173981212,0.17609102517206945
10,8,1,0.371066734292847,0.07537090971594086,0.07387116220435333
10,9,8,1.0000000000000002,1.0,1.0000000000000002
10,10,1,0.35359529884461954,0.07182387263543293,0.0674284464018466
11,1,1,0.4325275349456474,0.049179045230536164,0.21649678697328056
11,2,1,0.3647723473519634,0.23474261761354734,0.3647723473519634
11,3,8,1.0,1.0,1.0
11,4,4,0.7718359831594309,0.7663943561429658,0.37116477377141444
11,5,1,0.36936295096077104,0.06984038232287829,0.23435087184420242
11,6,1,0.38948275765838336,0.06397343173869821,0.22209925849170217
11,7,1,0.4410414336837369,0.4410414336837369,0.05930889049612732
11,8,1,0.371066734292847,0.06645385274228845,0.06645385274228845
11,9,8,1.0000000000000002,1.0,1.0
11,10,1,0.35359529884461954,0.0737351324282688,0.07211937748888061
12,1,3,0.718603100223558,0.17611276258764785,0.5517460007440393
12,2,4,0.7429652644314924,0.5585638550023083,0.4479991694251931
12,3,8,1.0,1.0,1.0
12,4,1,0.43886315817696153,0.05944415389835756,0.06488578091482258
12,5,7,0.9362070151148232,0.9301596176771217,0.9354213691649268
12,6,3,0.6829064903608966,0.20643894737472118,0.6740741205848854
12,7,7,0.9407895282601879,0.5589585663162632,0.9370414993042024
12,8,1,0.371066734292847,0.371066734292847,0.07387116220435333
12,9,1,0.4278768683008532,0.05764672882345325,0.06616828791966556
12,10,1,0.35359529884461954,0.06727676349416349,0.22584239080838647
13,1,4,0.7817164740636922,0.3955533619003583,0.23175721228268004
13,2,2,0.5995149649655107,0.12313695229639196,0.1362688031175478
13,3,3,0.7096855611305228,0.1803596439104686,0.3570789722909049
13,4,5,0.8312801370577885,0.43680690700985847,0.4415951018335534
13,5,5,0.8070117161375789,0.8009643186998776,0.5014417500619848
13,6,4,0.751361673203842,0.4173924158471539,0.2662451932272544
13,7,6,0.8814806377640605,0.3828675411441937,0.4917169321325227
13,8,1,0.371066734292847,0.05935105022511705,0.06916917880121738
13,9,6,0.8882841170861961,0.8764243213400836,0.8797625579899837
13,10,5,0.7971160722055883,0.7871642314421348,0.3531338639451473
14,1,1,0.4325275349456474,0.059838109128685715,0.21649678697328056
14,2,1,0.3647723473519634,0.05667440152450825,0.06409153092645155
14,3,3,0.7096855611305228,0.35951709451886427,0.1779215216825093
14,4,8,1.0000000000000002,1.0,1.0000000000000002
14,5,1,0.36936295096077104,0.23435087184420242,0.23435087184420242
14,6,6,0.881994395263505,0.8648855268360898,0.5391927681308057
14,7,8,1.0,1.0,1.0
14,8,1,0.371066734292847,0.21253995786766391,0.05935105022511705
14,9,8,1.0000000000000002,1.0,1.0000000000000002
14,10,1,0.35359529884461954,0.0674284464018466,0.0737351324282688
15,1,1,0.4325275349456474,0.21649678697328056,0.053161279618828015
15,2,8,1.0,1.0,1.0
15,3,2,0.6468720082732958,0.2967035416616372,0.4677145576649002
15,4,2,0.629028173996032,0.11406390386754903,0.12432993481318014
15,5,8,1.0,1.0000000000000002,1.0
15,6,8,1.0,1.0,1.0
15,7,3,0.6850399999819121,0.20138967821245662,0.5674935396072894
15,8,8,1.0,1.0,1.0
15,9,4,0.7685281381595609,0.6082523770635866,0.24630445859919659
15,10,2,0.579437689653006,0.421774016743021,0.1402980953872821
16,1,1,0.4325275349456474,0.05610509195825792,0.05610509195825792
16,2,6,0.8792340675490402,0.8726710431215388,0.6954511300407885
16,3,8,1.0,1.0,1.0
16,4,8,1.0000000000000002,1.0000000000000002,1.0
16,5,1,0.36936295096077104,0.06468312130506462,0.06379298488517698
16,6,4,0.751361673203842,0.7380475523235834,0.2533035106860043
16,7,2,0.6171324588558064,0.13514917530984627,0.12645210592355258
16,8,7,0.940648949774883,0.927822845849428,0.9278228458494279
16,9,1,0.4278768683008532,0.06616828791966556,0.06616828791966556
16,10,1,0.35359529884461954,0.06817871789840148,0.06817871789840148
17,1,1,0.4325275349456474,0.4325275349456474,0.053161279618828015
17,2,1,0.3647723473519634,0.06409153092645155,0.23474261761354734
17,3,2,0.6468720082732958,0.11546340279346581,0.2967035416616372
17,4,2,0.629028173996032,0.11954173998948522,0.11205003980304774
17,5,1,0.36936295096077104,0.06379298488517698,0.23435087184420242
17,6,8,1.0,1.0,1.0
17,7,1,0.4410414336837369,0.06790754112610582,0.17609102517206945
17,8,5,0.8050259182313773,0.6461137091805467,0.7921998143059221
17,9,1,0.4278768683008532,0.4278768683008532,0.05764672882345325
17,10,2,0.579437689653006,0.14394325012431353,0.1402980953872821
18,1,1,0.4325275349456474,0.06957877830463013,0.06957877830463013
18,2,1,0.3647723473519634,0.07279574411202877,0.05667440152450825
18,3,1,0.4052564387758567,0.056783376064457894,0.4052564387758567
18,4,7,0.9453440409253375,0.9453440409253375,0.8098349841809297
18,5,1,0.36936295096077104,0.06457863083507345,0.0687743897046625
18,6,3,0.6829064903608966,0.5201154797180463,0.6740741205848854
18,7,3,0.6850399999819121,0.6763429305956185,0.19007651356171557
18,8,1,0.371066734292847,0.07537090971594086,0.07537090971594086
18,9,8,1.0000000000000002,1.0,1.0
18,10,2,0.579437689653006,0.14555900506370173,0.29796176829726706
19,1,1,0.4325275349456474,0.049179045230536164,0.0631133738401341
19,2,1,0.3647723473519634,0.23474261761354734,0.07279574411202877
19,3,2,0.6468720082732958,0.46256138379862644,0.11376799889320602
19,4,1,0.43886315817696153,0.43886315817696153,0.05739408072838511
19,5,1,0.36936295096077104,0.06984038232287829,0.36936295096077104
19,6,3,0.6829064903608966,0.19908790490260841,0.34158619053209577
19,7,1,0.4410414336837369,0.4410414336837369,0.06790754112610582
19,8,1,0.371066734292847,0.06645385274228845,0.05935105022511705
19,9,7,0.9459308459096494,0.9398619332472831,0.572123131699147
19,10,1,0.35359529884461954,0.0737351324282688,0.07211937748888061
20,1,4,0.7817164740636922,0.3926095495609284,0.24195852372185017
20,2,1,0.3647723473519634,0.3647723473519634,0.0706545553539529
20,3,8,1.0,1.0,1.0
20,4,1,0.43886315817696153,0.05944415389835756,0.06488578091482258
20,5,1,0.36936295096077104,0.06461666814217085,0.06461666814217085
20,6,4,0.751361673203842,0.26195244767641657,0.5801107311239889
20,7,8,1.0,1.0,1.0
20,8,8,1.0,1.0,1.0
20,9,6,0.8882841170861961,0.8739329834108198,0.8679027622438712
20,10,7,0.9327232365058364,0.9262648675717311,0.9327232365058364
21,1,4,0.7817164740636922,0.3955533619003583,0.3816190332907604
21,2,1,0.3647723473519634,0.06646255077188372,0.23474261761354734
21,3,5,0.8308237067485743,0.48065524013691563,0.8215569093591789
21,4,1,0.43886315817696153,0.19016501581907044,0.19016501581907044
21,5,4,0.7423285948325142,0.7371713338147006,0.567437130112669
21,6,3,0.6829064903608966,0.19529315735545177,0.5245972308222936
21,7,1,0.4410414336837369,0.05930889049612732,0.06790754112610582
21,8,3,0.6589776018764517,0.3440681622433531,0.5203088062131411
21,9,4,0.7685281381595609,0.38840938628651334,0.6082523770635865
21,10,1,0.35359529884461954,0.22584239080838647,0.0674284464018466
22,1,1,0.4325275349456474,0.059838109128685715,0.049179045230536164
22,2,1,0.3647723473519634,0.05667440152450825,0.05667440152450825
22,3,1,0.4052564387758567,0.06281355285722705,0.24161556949743912
22,4,1,0.43886315817696153,0.07792202824857636,0.05666982313916391
22,5,4,0.7423285948325142,0.732189928995215,0.43758231201391407
22,6,5,0.8180209635248067,0.8009120950973916,0.8047068426445483
22,7,2,0.6171324588558064,0.12919900359840797,0.5072819365863472
22,8,2,0.5836066921605109,0.2847171120182361,0.147548063866513
22,9,1,0.4278768683008532,0.059617912173918215,0.06616828791966556
22,10,5,0.7971160722055883,0.6331457132691811,0.6387021277990486
23,1,1,0.4325275349456474,0.21649678697328056,0.049179045230536164
23,2,4,0.7429652644314924,0.2773480827380973,0.2633679289086527
23,3,2,0.6468720082732958,0.2967035416616372,0.298398945561897
23,4,2,0.629028173996032,0.11406390386754903,0.4962572389053466
23,5,8,1.0,1.0000000000000002,1.0000000000000002
23,6,8,1.0,1.0,1.0
23,7,4,0.7522816341656526,0.26060014995226877,0.36459891926660476
23,8,5,0.8050259182313773,0.35704225761437214,0.48439317718999486
23,9,1,0.4278768683008532,0.05406915409035075,0.05764672882345325
23,10,2,0.579437689653006,0.421774016743021,0.14191385032667028
24,1,5,0.8415545831923779,0.6605517300578996,0.6675600119397758
24,2,4,0.7429652644314924,0.44143614499769174,0.7366320710913473
24,3,1,0.4052564387758567,0.24161556949743912,0.056783376064457894
24,4,8,1.0000000000000002,1.0000000000000002,1.0
24,5,1,0.36936295096077104,0.06468312130506462,0.0687743897046625
24,6,5,0.8180209635248067,0.8047068426445482,0.4795699550638715
24,7,1,0.4410414336837369,0.06724163418374045,0.06624050290261035
24,8,8,1.0,1.0,1.0
24,9,1,0.4278768683008532,0.06616828791966556,0.05764672882345325
24,10,6,0.8652947901039898,0.5789762547535338,0.42056231034699393
25,1,1,0.4325275349456474,0.4325275349456474,0.05610509195825792
25,2,8,1.0,1.0,1.0
25,3,2,0.6468720082732958,0.11546340279346581,0.3044291223546662
25,4,5,0.8312801370577885,0.8080140678838748,0.313577745275583
25,5,4,0.7423285948325142,0.26282866618529954,0.7330136122522088
25,6,3,0.6829064903608966,0.5159482938318813,0.18197903647519334
25,7,6,0.8814806377640605,0.8665178629136492,0.8745490253575775
25,8,3,0.6589776018764517,0.21569592466258264,0.34106018689399836
25,9,8,1.0000000000000002,1.0,1.0
25,10,1,0.35359529884461954,0.07211937748888061,0.22584239080838647
26,1,8,1.0,1.0,1.0
26,2,3,0.6723107090775395,0.6723107090775395,0.36948870389395183
26,3,1,0.4052564387758567,0.056783376064457894,0.05730494502276975
26,4,2,0.629028173996032,0.5037489390917841,0.629028173996032
26,5,5,0.8070117161375789,0.5021609428489875,0.5021609428489875
26,6,4,0.751361673203842,0.5885706625609917,0.5959217050331045
26,7,8,1.0,1.0,1.0
26,8,8,1.0,1.0000000000000002,1.0
26,9,4,0.7685281381595609,0.39226777751521236,0.3881700482033111
26,10,7,0.9327232365058364,0.9278806225111194,0.9325715535981534
27,1,3,0.718603100223558,0.16545369868949827,0.32949617572079426
27,2,1,0.3647723473519634,0.23474261761354734,0.06409153092645155
27,3,2,0.6468720082732958,0.46256138379862644,0.4603444109400548
27,4,1,0.43886315817696153,0.43886315817696153,0.05666982313916391
27,5,8,1.0,1.0000000000000002,1.0000000000000002
27,6,1,0.38948275765838336,0.06397343173869821,0.06845518284294543
27,7,5,0.8185221370682629,0.8056403529503415,0.6984580001855081
27,8,8,1.0,1.0,1.0
27,9,1,0.4278768683008532,0.0659289498364633,0.05764672882345325
27,10,4,0.7252921995701554,0.43428273313266536,0.2805597198131595
28,1,8,1.0,1.0,1.0
28,2,2,0.5995149649655107,0.43123489812384713,0.1362688031175478
28,3,2,0.6468720082732958,0.4677145576649002,0.4603444109400548
28,4,2,0.629028173996032,0.249609169717428,0.12432993481318014
28,5,1,0.36936295096077104,0.06461666814217085,0.06468312130506462
28,6,1,0.38948275765838336,0.06665929032096478,0.06249210443479975
28,7,8,1.0,1.0,1.0
28,8,8,1.0,1.0,1.0000000000000002
28,9,2,0.6364309004034321,0.26620076092603207,0.26620076092603207
28,10,1,0.35359529884461954,0.06727676349416349,0.06727676349416349
29,1,6,0.8976596751506358,0.8976596751506357,0.883725346541038
29,2,8,1.0,1.0,1.0
29,3,8,1.0,1.0,1.0
29,4,2,0.629028173996032,0.26808704406764683,0.1373661821469339
29,5,2,0.6037138228049734,0.30312526154886493,0.4340460722658357
29,6,4,0.751361673203842,0.4173924158471539,0.2644493007052737
29,7,3,0.6850399999819121,0.18850789409453528,0.5595607959196763
29,8,1,0.371066734292847,0.05935105022511705,0.371066734292847
29,9,1,0.4278768683008532,0.20855403210257883,0.060138066752717
29,10,4,0.7252921995701554,0.7150448539532541,0.43356893259751517
30,1,8,1.0,1.0,1.0
30,2,1,0.3647723473519634,0.05667440152450825,0.3647723473519634
30,3,5,0.8308237067485743,0.47498049731233005,0.8294486250423361
30,4,8,1.0000000000000002,1.0,1.0000000000000002
30,5,1,0.36936295096077104,0.23435087184420242,0.0687743897046625
30,6,2,0.6115820161500856,0.12683797451250636,0.2860726902304004
30,7,6,0.8814806377640605,0.7646000843318033,0.8648508246901538
30,8,8,1.0,1.0000000000000002,1.0000000000000002
30,9,8,1.0000000000000002,1.0,1.0
30,10,1,0.35359529884461954,0.0674284464018466,0.06817871789840148
31,1,1,0.4325275349456474,0.21649678697328056,0.053161279618828015
31,2,1,0.3647723473519634,0.0706545553539529,0.06980625234566408
31,3,3,0.7096855611305228,0.3553835683906451,0.5207198415693225
31,4,1,0.43886315817696153,0.05739408072838511,0.05739408072838511
31,5,1,0.36936295096077104,0.36936295096077104,0.06461666814217085
31,6,6,0.881994395263505,0.8602203429462435,0.8731620254874937
31,7,1,0.4410414336837369,0.06624050290261035,0.06624050290261035
31,8,7,0.940648949774883,0.7874600421323361,0.9335461472577117
31,9,1,0.4278768683008532,0.05406915409035075,0.20855403210257883
31,10,4,0.7252921995701554,0.5657172668673345,0.7252921995701554
32,1,1,0.4325275349456474,0.05610509195825792,0.21649678697328056
32,2,1,0.3647723473519634,0.06980625234566408,0.05667440152450825
32,3,2,0.6468720082732958,0.300295596226447,0.12149357958623497
32,4,8,1.0000000000000002,1.0000000000000002,1.0000000000000002
32,5,1,0.36936295096077104,0.06468312130506462,0.06468312130506462
32,6,8,1.0,1.0,1.0
32,7,8,1.0,1.0,1.0
32,8,1,0.371066734292847,0.06916917880121738,0.05935105022511705
32,9,1,0.4278768683008532,0.06616828791966556,0.20855403210257883
32,10,1,0.35359529884461954,0.06817871789840148,0.06817871789840148
33,1,4,0.7817164740636922,0.6044466380996417,0.40902704824673053
33,2,8,1.0,1.0,1.0
33,3,1,0.4052564387758567,0.05868002672900792,0.24161556949743912
33,4,6,0.8886742177861736,0.8859360961324512,0.750390830282572
33,5,1,0.36936295096077104,0.06379298488517698,0.06461666814217085
33,6,7,0.9444864996983047,0.7779007415082978,0.928675525789189
33,7,8,1.0,1.0,1.0
33,8,8,1.0,1.0,1.0
33,9,8,1.0000000000000002,1.0,1.0000000000000002
33,10,7,0.9327232365058364,0.9318212821015985,0.9327232365058364
34,1,1,0.4325275349456474,0.06957877830463013,0.049179045230536164
34,2,3,0.6723107090775395,0.6723107090775395,0.3752034253131643
34,3,1,0.4052564387758567,0.056783376064457894,0.4052564387758567
34,4,2,0.629028173996032,0.5037489390917841,0.4983073120753191
34,5,8,1.0,1.0000000000000002,1.0000000000000002
34,6,8,1.0,1.0,1.0
34,7,5,0.8185221370682629,0.7986103217875433,0.6974568689043781
34,8,1,0.371066734292847,0.07537090971594086,0.06645385274228845
34,9,4,0.7685281381595609,0.39226777751521236,0.398297998682161
34,10,1,0.35359529884461954,0.07182387263543293,0.0674284464018466
35,1,6,0.8976596751506358,0.49789368674972245,0.880781534201608
35,2,1,0.3647723473519634,0.23474261761354734,0.06409153092645155
35,3,5,0.8308237067485743,0.6429210277090951,0.8251489639239887
35,4,2,0.629028173996032,0.4983073120753191,0.24755909654745556
35,5,1,0.36936295096077104,0.06984038232287829,0.06461666814217085
35,6,6,0.881994395263505,0.548025137906817,0.7223872412066025
35,7,1,0.4410414336837369,0.4410414336837369,0.4410414336837369
35,8,8,1.0,1.0,1.0
35,9,2,0.6364309004034321,0.12357567865991656,0.1260670165891803
35,10,1,0.35359529884461954,0.0737351324282688,0.06817871789840148
36,1,1,0.4325275349456474,0.053161279618828015,0.0631133738401341
36,2,3,0.6723107090775395,0.4879092996483554,0.37400091249745987
36,3,6,0.888128651771344,0.8859116789127724,0.701601054438103
36,4,7,0.9453440409253375,0.5611368418230386,0.8098349841809297
36,5,3,0.6735542051278518,0.3677419296910358,0.4978390571510126
36,6,8,1.0,1.0,1.0
36,7,6,0.8814806377640605,0.49974809457645103,0.8665178629136492
36,8,1,0.371066734292847,0.371066734292847,0.07387116220435333
36,9,8,1.0000000000000002,1.0,1.0
36,10,1,0.35359529884461954,0.06727676349416349,0.06727676349416349
37,1,8,1.0,1.0,1.0
37,2,1,0.3647723473519634,0.06646255077188372,0.3647723473519634
37,3,2,0.6468720082732958,0.12527167174627052,0.12527167174627052
37,4,5,0.8312801370577885,0.43680690700985847,0.42654499043529837
37,5,1,0.36936295096077104,0.0687743897046625,0.06461666814217085
37,6,8,1.0,1.0,1.0
37,7,2,0.6171324588558064,0.12226739119192492,0.5039999343795345
37,8,1,0.371066734292847,0.05935105022511705,0.07217715415057215
37,9,1,0.4278768683008532,0.20855403210257883,0.05406915409035075
37,10,1,0.35359529884461954,0.22584239080838647,0.06817871789840148
38,1,1,0.4325275349456474,0.059838109128685715,0.0631133738401341
38,2,1,0.3647723473519634,0.05667440152450825,0.06980625234566408
38,3,1,0.4052564387758567,0.06281355285722705,0.4052564387758567
38,4,4,0.7718359831594309,0.24664189119078803,0.7533581088092121
38,5,8,1.0,1.0000000000000002,1.0
38,6,5,0.8180209635248067,0.8009120950973916,0.49103031030122307
38,7,4,0.7522816341656526,0.26434817890825424,0.7506145959421572
38,8,2,0.5836066921605109,0.2847171120182361,0.147548063866513
38,9,4,0.7685281381595609,0.6077322224847878,0.2399934209366515
38,10,3,0.6531728220812748,0.4892024631448676,0.21767838255258234
39,1,1,0.4325275349456474,0.21649678697328056,0.059838109128685715
39,2,1,0.3647723473519634,0.0706545553539529,0.06980625234566408
39,3,1,0.4052564387758567,0.05508797216419809,0.05508797216419809
39,4,1,0.43886315817696153,0.05739408072838511,0.43886315817696153
39,5,2,0.6037138228049734,0.4340460722658357,0.13256737458983947
39,6,1,0.38948275765838336,0.05551350030169538,0.06665929032096478
39,7,6,0.8814806377640605,0.8777326088080751,0.3828675411441937
39,8,6,0.8741950970325946,0.7281089919072191,0.5597640869059357
39,9,1,0.4278768683008532,0.05406915409035075,0.20855403210257883
39,10,1,0.35359529884461954,0.35359529884461954,0.35359529884461954
40,1,8,1.0,1.0,1.0
40,2,1,0.3647723473519634,0.06980625234566408,0.05667440152450825
40,3,3,0.7096855611305228,0.3570789722909049,0.1787985246090047
40,4,2,0.629028173996032,0.11132578221382655,0.1373661821469339
40,5,5,0.8070117161375789,0.32751178749036414,0.8017880019568714
40,6,4,0.751361673203842,0.7380475523235834,0.7466964893139957
40,7,8,1.0,1.0,1.0
40,8,1,0.371066734292847,0.06916917880121738,0.371066734292847
40,9,4,0.7685281381595609,0.620112172809699,0.7600065790633486
40,10,1,0.35359529884461954,0.06817871789840148,0.06817871789840148
41,1,3,0.718603100223558,0.5512853584808137,0.16910448070577166
41,2,8,1.0,1.0,1.0
41,3,2,0.6468720082732958,0.11546340279346581,0.46806999163308377
41,4,5,0.8312801370577885,0.8080140678838748,0.4285588544997996
41,5,2,0.6037138228049734,0.12837161572025044,0.12929978944723547
41,6,1,0.38948275765838336,0.06249210443479975,0.05551350030169538
41,7,1,0.4410414336837369,0.06790754112610582,0.17609102517206945
41,8,7,0.940648949774883,0.9308308211987827,0.7874600421323361
41,9,1,0.4278768683008532,0.4278768683008532,0.0659289498364633
41,10,1,0.35359529884461954,0.07211937748888061,0.0674284464018466
42,1,4,0.7817164740636922,0.2350324769941284,0.754308459107722
42,2,1,0.3647723473519634,0.07279574411202877,0.23474261761354734
42,3,2,0.6468720082732958,0.11408832108722763,0.4639364655048646
42,4,2,0.629028173996032,0.5037489390917841,0.49553298131612544
42,5,1,0.36936295096077104,0.06457863083507345,0.36936295096077104
42,6,8,1.0,1.0,1.0
42,7,8,1.0,1.0,1.0
42,8,3,0.6589776018764517,0.5128914967510763,0.21841125072151157
42,9,1,0.4278768683008532,0.060138066752717,0.05406915409035075
42,10,8,1.0,1.0,0.9999999999999999
43,1,2,0.649024321918928,0.10234032484936417,0.11229241907067027
43,2,4,0.7429652644314924,0.7226519172619026,0.2740043811643169
43,3,8,1.0,1.0,1.0
43,4,1,0.43886315817696153,0.43886315817696153,0.19016501581907044
43,5,8,1.0,1.0000000000000002,1.0
43,6,5,0.8180209635248067,0.3259258794151148,0.8047068426445483
43,7,4,0.7522816341656526,0.7393998500477312,0.7425834334982288
43,8,7,0.940648949774883,0.9246290902840593,0.9261288377956467
43,9,1,0.4278768683008532,0.0659289498364633,0.05764672882345325
43,10,1,0.35359529884461954,0.0737351324282688,0.07182387263543293
44,1,1,0.4325275349456474,0.053161279618828015,0.05610509195825792
44,2,1,0.3647723473519634,0.3647723473519634,0.06646255077188372
44,3,1,0.4052564387758567,0.4052564387758567,0.24161556949743912
44,4,1,0.43886315817696153,0.05944415389835756,0.19016501581907044
44,5,2,0.6037138228049734,0.13339105784683336,0.13256737458983947
44,6,1,0.38948275765838336,0.06665929032096478,0.06249210443479975
44,7,2,0.6171324588558064,0.2353999156681968,0.12226739119192492
44,8,2,0.5836066921605109,0.43041778451796403,0.13152820437568918
44,9,1,0.4278768683008532,0.05764672882345325,0.05764672882345325
44,10,4,0.7252921995701554,0.7141428995490161,0.7197357850402881
45,1,5,0.8415545831923779,0.8280808968460056,0.80746973872655
45,2,7,0.9433255984754918,0.6352276526480366,0.9301937476543358
45,3,1,0.4052564387758567,0.062458118889043485,0.05508797216419809
45,4,4,0.7718359831594309,0.38215094793519583,0.38762878405713197
45,5,6,0.8716283842797496,0.865542949534951,0.7010324600136268
45,6,1,0.38948275765838336,0.06845518284294543,0.06249210443479975
45,7,2,0.6171324588558064,0.12226739119192492,0.12711801286591795
45,8,4,0.7328487640808051,0.4132373410445705,0.7296550085154363
45,9,1,0.4278768683008532,0.20855403210257883,0.05406915409035075
45,10,8,1.0,1.0,0.9999999999999998
46,1,5,0.8415545831923779,0.8345463013105017,0.29781439846224406
46,2,1,0.3647723473519634,0.05667440152450825,0.06409153092645155
46,3,2,0.6468720082732958,0.11790152502142515,0.11376799889320602
46,4,8,1.0000000000000002,1.0,1.0
